organ,drug,dose_mg,duration_h,oxygen,ph,viability,lactate,toxic_metabolites,heartbeat,contractility,filtration,glucose,label
liver,Drug B,51.8,25.41,74.3,7.059,63.51,4.95,18.03,96.81,65.29,71.71,71.35,Mild Toxicity
lungs,Drug C,53.8,28.24,38.35,6.643,9.5,12.0,48.09,40.31,12.07,8.0,29.84,Severe Toxicity
heart,Drug B,18.72,24.89,89.12,7.342,84.69,2.56,7.89,74.23,81.01,93.28,86.17,Normal
lungs,Drug A,3.79,16.29,98.25,7.415,96.11,0.82,1.19,72.9,91.66,107.36,94.32,Normal
kidney,Drug B,10.83,25.37,91.95,7.318,93.3,1.8,4.42,68.76,81.51,89.82,91.4,Normal
liver,Drug B,13.74,11.71,93.17,7.353,92.97,1.67,3.39,77.13,91.42,107.94,89.2,Normal
heart,Drug B,22.12,21.68,85.76,7.259,83.37,2.5,7.69,88.89,92.22,96.46,81.58,Mild Toxicity
lungs,Drug B,8.3,24.53,92.39,7.41,91.24,1.86,3.75,70.75,84.5,94.81,103.59,Normal
kidney,Drug B,59.56,32.21,69.07,6.929,47.48,7.08,26.23,115.35,47.78,54.49,69.56,Severe Toxicity
liver,Drug C,13.39,11.86,91.53,7.283,86.29,2.24,6.29,86.56,81.23,101.4,77.12,Normal
lungs,Drug B,40.45,34.45,76.22,7.012,62.37,5.49,18.9,95.7,63.72,63.88,82.4,Severe Toxicity
heart,Drug A,32.78,22.21,100.0,7.347,97.17,0.7,1.45,77.56,87.65,104.53,105.49,Normal
liver,Drug A,8.7,1.74,95.67,7.414,97.25,1.39,2.13,73.78,91.53,103.87,98.57,Normal
heart,Drug A,55.64,4.47,98.33,7.453,91.76,0.88,1.35,73.1,90.38,100.35,94.72,Normal
kidney,Drug A,23.25,12.46,97.54,7.404,97.07,1.11,1.65,81.9,93.18,113.76,103.15,Normal
liver,Drug B,7.52,26.4,94.62,7.282,91.63,1.39,3.99,83.73,84.92,98.96,86.84,Normal
lungs,Drug B,36.78,33.59,77.45,7.068,66.86,4.76,16.96,94.89,68.99,72.43,75.2,Mild Toxicity
lungs,Drug C,34.07,33.76,49.7,6.858,29.98,9.75,37.13,38.6,30.44,38.86,46.85,Severe Toxicity
liver,Drug C,47.32,4.87,84.28,7.274,84.48,2.86,8.61,83.08,81.59,93.54,91.18,Mild Toxicity
heart,Drug B,48.49,9.35,86.77,7.248,86.23,2.54,7.28,84.1,87.52,100.62,90.07,Mild Toxicity
kidney,Drug B,4.46,31.95,92.94,7.423,93.15,1.55,3.09,71.16,92.35,104.05,93.88,Normal
liver,Drug B,29.5,5.17,91.64,7.332,94.34,1.3,3.98,78.18,87.63,99.73,83.29,Normal
kidney,Drug B,20.34,28.56,88.36,7.209,84.34,3.24,8.79,92.28,80.1,92.59,86.4,Mild Toxicity
kidney,Drug A,20.21,26.99,99.99,7.373,95.39,1.2,2.09,68.23,87.69,89.87,94.65,Normal
lungs,Drug A,11.62,30.27,99.32,7.428,96.39,1.29,1.32,78.97,87.54,119.28,94.04,Normal
kidney,Drug B,30.61,3.94,93.89,7.365,96.34,1.3,3.45,73.45,89.31,95.25,93.43,Normal
heart,Drug B,32.82,4.67,94.62,7.325,94.08,1.31,3.75,78.51,85.2,104.74,98.93,Normal
heart,Drug C,54.39,26.22,38.43,6.649,17.36,12.0,45.9,26.4,13.16,17.57,48.31,Severe Toxicity
heart,Drug B,48.03,3.97,91.08,7.353,92.16,1.85,4.0,69.69,88.15,101.77,91.68,Normal
lungs,Drug A,31.85,24.71,94.85,7.38,97.02,1.14,1.33,64.09,97.88,117.32,95.07,Normal
kidney,Drug A,25.66,5.79,98.19,7.339,98.52,1.08,1.88,66.23,96.97,97.77,96.91,Normal
lungs,Drug C,15.64,12.39,93.38,7.3,84.91,2.5,7.53,78.55,80.33,98.02,87.91,Normal
heart,Drug B,7.91,23.85,92.06,7.353,95.26,1.67,3.3,72.19,87.56,84.41,84.31,Normal
liver,Drug A,24.86,15.58,95.55,7.411,99.22,1.35,1.74,64.37,90.23,113.24,95.55,Normal
heart,Drug B,43.27,6.27,94.8,7.298,87.78,1.77,5.19,85.89,82.15,84.75,92.81,Normal
liver,Drug A,55.29,16.91,100.0,7.455,99.82,1.12,1.49,72.89,90.77,122.23,103.36,Normal
lungs,Drug C,36.44,5.41,89.59,7.282,86.98,2.43,7.27,79.01,79.86,100.64,93.34,Normal
heart,Drug B,50.5,1.64,98.36,7.397,94.47,1.22,2.07,68.67,90.04,108.76,98.55,Normal
lungs,Drug C,24.91,24.89,73.05,7.086,56.0,5.85,20.42,84.26,52.93,63.83,68.36,Mild Toxicity
liver,Drug A,13.86,27.03,95.61,7.467,97.31,1.26,1.54,72.62,93.65,127.13,100.27,Normal
heart,Drug A,57.38,9.53,95.66,7.369,99.53,0.81,2.21,60.76,90.75,103.61,94.46,Normal
kidney,Drug C,54.3,35.46,20.01,6.6,5.0,12.0,60.0,20.0,8.0,8.0,20.0,Severe Toxicity
lungs,Drug C,46.8,8.24,80.39,7.267,77.6,3.89,13.21,86.78,65.64,83.41,80.18,Mild Toxicity
heart,Drug C,47.09,19.12,64.68,6.939,43.6,7.63,29.11,49.62,46.26,58.52,69.7,Severe Toxicity
liver,Drug B,32.85,7.55,88.67,7.413,88.14,1.48,5.08,79.13,80.99,95.71,97.61,Normal
heart,Drug C,18.29,3.17,95.28,7.328,95.22,1.41,3.65,77.41,87.41,99.38,100.16,Normal
lungs,Drug C,45.48,35.71,33.64,6.6,5.78,12.0,51.66,30.9,8.0,8.0,36.69,Severe Toxicity
heart,Drug B,40.02,24.2,80.84,7.152,75.91,3.85,12.97,88.5,63.2,77.26,70.95,Mild Toxicity
kidney,Drug B,20.59,35.16,83.84,7.238,81.78,3.05,10.55,87.44,73.16,92.88,83.45,Mild Toxicity
heart,Drug C,45.21,27.76,50.36,6.773,25.67,10.66,39.62,35.56,27.02,32.77,45.19,Severe Toxicity
kidney,Drug A,24.62,35.95,95.99,7.408,98.5,1.6,1.64,79.7,92.18,104.71,97.19,Normal
lungs,Drug B,39.86,35.72,73.21,7.097,60.19,5.56,19.89,106.72,65.18,67.0,70.41,Mild Toxicity
liver,Drug A,52.99,4.36,99.05,7.404,96.52,1.39,1.56,68.21,89.92,112.42,93.15,Normal
lungs,Drug C,16.93,27.33,78.36,7.186,74.78,4.06,15.13,88.64,66.5,84.08,79.7,Mild Toxicity
liver,Drug C,52.63,7.73,79.25,7.144,70.2,3.75,13.73,84.12,74.7,88.64,77.57,Mild Toxicity
lungs,Drug A,32.27,12.02,100.0,7.414,98.12,1.05,1.56,76.62,90.64,107.97,98.75,Normal
lungs,Drug A,26.52,7.16,96.62,7.366,92.02,1.07,1.66,74.38,90.5,118.62,92.42,Normal
liver,Drug C,32.51,35.88,50.67,6.805,29.09,9.57,37.24,43.71,31.88,28.6,40.71,Severe Toxicity
kidney,Drug B,27.03,23.16,85.19,7.231,82.1,2.93,9.51,93.24,75.89,93.87,79.6,Mild Toxicity
heart,Drug C,16.93,29.94,77.24,7.194,69.75,4.98,17.6,83.7,62.34,73.65,75.59,Mild Toxicity
kidney,Drug A,52.97,14.06,96.37,7.374,97.67,1.26,0.81,75.29,94.03,88.62,88.7,Normal
lungs,Drug B,23.46,15.62,91.14,7.302,87.04,2.08,6.57,87.15,85.18,100.23,76.7,Normal
heart,Drug A,21.96,4.39,98.65,7.419,97.36,1.39,2.26,75.61,98.67,110.38,90.68,Normal
